Date,Open,High,Low,Close,Volume,FX,FX_ch%_1d,FX_ch%_2d,FX_ch%_5d, VIX ,VIX_ch_1d,VIX_ch_5d,TIIE,TIIE_ch_1d,TIIE_ch_5d,TIIE_ch_20d
23/05/01,6643.819824,6831.950195,6614.439941,6782.509766,197182000,9.0398,0.008231095,0.010846715,-0.013606853,0.2208,0.0073,0.0019,0.12275,-0.00375,-0.02615,-0.03665
24/05/01,6782.580078,6813.859863,6679.220215,6714.470215,140626400,9.0805,0.004502312,0.012770466,0.009482835,0.2057,-0.0151,-0.009,0.1235,0.00075,-0.0245,-0.035
25/05/01,6714.669922,6741.410156,6672.77002,6711.339844,64021000,9.0945,0.001541765,0.006051019,0.013043866,0.206,0.0003,-0.0063,0.123,-0.0005,-0.0205,-0.0334
28/05/01,6710.870117,6731.189941,6687.140137,6700.330078,14540400,9.0781,-0.001803288,-0.000264303,0.01512949,0.206, -   ,-0.0016,0.1228,-0.0002,-0.0192,-0.0336
29/05/01,6702.290039,6720.970215,6635.660156,6665.540039,96416400,9.0851,0.000771086,-0.001033592,0.013283516,0.2214,0.0154,0.0079,0.1223,-0.0005,-0.0042,-0.0341
30/05/01,6666.470215,6666.470215,6578.069824,6586.930176,75607200,9.1653,0.008827641,0.009605534,0.013883051,0.2276,0.0062,0.0068,0.122,-0.0003,-0.00075,-0.0338
31/05/01,6587.549805,6613.879883,6576.939941,6595.390137,115038800,9.1835,0.001985751,0.010830921,0.011342988,0.2264,-0.0012,0.0207,0.1231,0.0011,-0.0004,-0.03155
01/06/01,6592.910156,6629.97998,6573.600098,6619.660156,103425200,9.1735,-0.001088909,0.000894679,0.008686569,0.2159,-0.0105,0.0099,0.123875,0.000775,0.000875,-0.030625
04/06/01,6621.529785,6640.609863,6570.75,6631.75,76991000,9.1369,-0.003989753,-0.005074318,0.006477126,0.2138,-0.0021,0.0078,0.123,-0.000875,0.0002,-0.031
05/06/01,6632.370117,6674.759766,6621.779785,6672.350098,124940600,9.1722,0.003863455,-0.000141713,0.009587126,0.1958,-0.018,-0.0256,0.12335,0.00035,0.00105,-0.03055
06/06/01,6671.77002,6802.589844,6658.22998,6790.97998,129449800,9.1208,-0.00560389,-0.001762086,-0.004855269,0.2039,0.0081,-0.0237,0.1239,0.00055,0.0019,-0.0297
07/06/01,6784.069824,6895.700195,6765.799805,6840.629883,127670000,9.1235,0.000296027,-0.005309522,-0.006533457,0.1967,-0.0072,-0.0297,0.1231,-0.0008,0,-0.029375
08/06/01,6836.609863,6837.319824,6754.879883,6783.720215,82023800,9.068,-0.006083192,-0.005788966,-0.011500518,0.1992,0.0025,-0.0167,0.12115,-0.00195,-0.002725,-0.03075
11/06/01,6783.290039,6783.290039,6715.560059,6731.290039,60222200,9.029,-0.004300838,-0.010357867,-0.011809257,0.207,0.0078,-0.0068,0.12,-0.00115,-0.003,-0.03085
12/06/01,6726.950195,6797.149902,6660.970215,6796.819824,81571000,9.094,0.007199025,0.002867225,-0.008525763,0.207, -   ,0.0112,0.1175,-0.0025,-0.00585,-0.03255
13/06/01,6796.22998,6863.25,6770.47998,6802.370117,110223000,9.118,0.002639103,0.009857127,-0.000306991,0.2145,0.0075,0.0106,0.1155,-0.002,-0.0084,-0.0334
14/06/01,6799.899902,6799.899902,6741.810059,6749.799805,74941800,9.0523,-0.007205528,-0.004585441,-0.007804023,0.2312,0.0167,0.0345,0.1155,0,-0.0076,-0.0325
15/06/01,6740.52002,6740.52002,6646.790039,6670.720215,129340600,9.0522,-0.000011,-0.007216495,-0.001742391,0.2281,-0.0031,0.0289,0.11415,-0.00135,-0.007,-0.02935
18/06/01,6667.939941,6676.22998,6489.560059,6489.560059,118130800,9.0502,-0.000220941,-0.000231985,0.00234799,0.2317,0.0036,0.0247,0.1134,-0.00075,-0.0066,-0.0286
19/06/01,6492.350098,6558.339844,6354.040039,6359.060059,150451000,9.0792,0.003204349,0.0029827,-0.001627447,0.2234,-0.0083,0.0164,0.11075,-0.00265,-0.00675,-0.01575
20/06/01,6364.649902,6469.649902,6364.649902,6455.149902,130202400,9.0798,6.60851E-05,0.003270646,-0.004189515,0.2171,-0.0063,0.0026,0.1103,-0.00045,-0.0052,-0.01245
21/06/01,6450.439941,6547.100098,6443.560059,6543.390137,146002400,9.057,-0.002511069,-0.002445149,0.000519205,0.1938,-0.0233,-0.0374,0.11125,0.00095,-0.00425,-0.01225
22/06/01,6543.47998,6594.470215,6526.319824,6539.649902,125533600,9.073,0.001766589,-0.000748915,0.002297784,0.2002,0.0064,-0.0279,0.1121,0.00085,-0.00205,-0.0109
25/06/01,6539.910156,6566.009766,6536.870117,6562.660156,77193600,9.0595,-0.001487931,0.00027603,0.001027602,0.2067,0.0065,-0.025,0.1145,0.0024,0.0011,-0.0083
26/06/01,6562.649902,6591.350098,6540.919922,6582.169922,92482000,9.0606,0.00012142,-0.001366692,-0.002048639,0.212,0.0053,-0.0114,0.11465,0.00015,0.0039,-0.00765
27/06/01,6582.609863,6616.370117,6557.120117,6587.680176,103990400,9.0608,2.20736E-05,0.000143496,-0.002092557,0.2088,-0.0032,-0.0083,0.1136,-0.00105,0.0033,-0.0084
28/06/01,6589.240234,6659.279785,6588.97998,6607.200195,122497200,9.09,0.003222673,0.003244818,0.003643591,0.2001,-0.0087,0.0063,0.1125,-0.0011,0.00125,-0.0106
29/06/01,6608.589844,6688.379883,6600.810059,6666.169922,121409200,9.0708,-0.002112211,0.001103655,-0.000242478,0.1906,-0.0095,-0.0096,0.11115,-0.00135,-0.00095,-0.012725
02/07/01,6666.200195,6797.279785,6658.410156,6797.109863,104686400,9.0221,-0.005368876,-0.007469747,-0.004128263,0.1876,-0.003,-0.0191,0.11,-0.00115,-0.0045,-0.013
03/07/01,6797.180176,6841.330078,6788.859863,6840.740234,61748400,9.0258,0.000410104,-0.004960974,-0.003840805,0.1892,0.0016,-0.0228,0.11,0,-0.00465,-0.01335
04/07/01,6838.870117,6868.890137,6831.830078,6868.890137,27247000,9.0707,0.004974628,0.005386772,0.001092619,0.1892, -   ,-0.0196,0.10935,-0.00065,-0.00425,-0.01455
05/07/01,6868.77002,6868.77002,6814.569824,6814.620117,134719000,9.0312,-0.00435468,0.000598285,-0.006468647,0.2009,0.0117,0.0008,0.10935,0,-0.00315,-0.01375
06/07/01,6816.109863,6822.379883,6710.950195,6715.810059,103098400,9.1503,0.013187616,0.008775508,0.008764387,0.2163,0.0154,0.0257,0.10935,0,-0.0018,-0.0118
09/07/01,6692.399902,6723.189941,6661.180176,6709.129883,53366800,9.1193,-0.003387867,0.009755071,0.010773545,0.2248,0.0085,0.0372,0.1129,0.00355,0.0029,-0.0071
10/07/01,6709.160156,6777.589844,6708.439941,6713.040039,84213800,9.1476,0.003103308,-0.000295072,0.013494649,0.2325,0.0077,0.0433,0.11175,-0.00115,0.00175,-0.00575
11/07/01,6713.540039,6720.669922,6535.97998,6564.140137,136839800,9.2953,0.016146312,0.019299727,0.024761044,0.2401,0.0076,0.0509,0.1119,0.00015,0.00255,-0.0036
12/07/01,6564.339844,6596.100098,6385.839844,6470.879883,154534000,9.342,0.005024044,0.021251476,0.034414031,0.2209,-0.0192,0.02,0.11625,0.00435,0.0069,0.00075
13/07/01,6471.350098,6491.580078,6416.27002,6452.120117,91792400,9.3542,0.00130593,0.006336536,0.022283422,0.2114,-0.0095,-0.0049,0.12145,0.0052,0.0121,0.0073
16/07/01,6453.060059,6463.779785,6374.029785,6377.310059,75575800,9.2918,-0.0066708,-0.005373582,0.018915926,0.2291,0.0177,0.0043,0.1225,0.00105,0.0096,0.0091
17/07/01,6378.600098,6421.009766,6378.600098,6395.430176,148223400,9.1855,-0.011440195,-0.01803468,0.004143163,0.2261,-0.003,-0.0064,0.1195,-0.003,0.00775,0.00875
