Volume,FX,FX_ch%_1d,FX_ch%_2d,FX_ch%_5d, VIX ,VIX_ch_1d,VIX_ch_5d,TIIE,TIIE_ch_1d,TIIE_ch_5d,TIIE_ch_20d,Simple_return_1,Simple_return_2,Simple_return_4,Simple_return_20,std_dev_return_10,Lagged_Return_1_1,Lagged_Return_1_2,Lagged_Return_1_3,Lagged_Return_1_5,Lagged_Return_1_10,Lagged_Return_5_3,Lagged_Return_5_5,Lagged_Return_5_10,Lagged_Return_10_1,Lagged_Return_10_3,Lagged_Return_10_5,Lagged_Return_10_10,RSI_28,%K_14,ADX_14,ADX_28,OBV,OBV_Change_1,OBV_Change_3,OBV_Change_5,OBV_Change_10,ATR_14,CLV,Chaikin_Oscillator_5_15,PVO_12_26,Date,forward_return,return_category,Close
79729200.0,9.6285,-0.007913202,-0.001834919,-0.012684317,0.4187,0.037,0.0684,0.08,0.0006,-0.00165,-0.0105,-0.035209384662048815,-0.04973709223285461,-0.03203371558078649,-0.05984036895977085,0.013565270386614526,-0.015057886488372363,0.0047710382844063925,0.013793131720581941,-0.0044278101039259,0.004036907002833434,0.005024079170953044,-0.018006054228511426,0.004329042347616996,-0.019477517044507286,0.015342814213408218,-0.0137549608521631,-0.0021605962407134083,33.587765723675886,3.9520043158648273,15.582614263710722,10.866357290016476,146938000.0,-79729200.0,-70307000.0,-69185000.0,-107259000.0,113.09786571428594,-0.8486103381123569,-13418954.464607935,-8.699873157547948,2002-07-22,-0.03621623747718428,0,6113.830078
93902000.0,9.613,-0.001609804,-0.009510268,-0.012481381,0.4492,0.0305,0.0827,0.079,-0.001,-0.00245,-0.017,-0.03621623747718428,-0.07015047070288682,-0.07978249368343038,-0.06932356604956758,0.01657949423004248,-0.035209384662048815,-0.015057886488372363,0.0047710382844063925,-0.00877577201094304,-0.004310382519157163,0.006832393587796082,-0.022410022462648116,0.015385765159825038,-0.057804665261517174,0.01696672879112837,-0.0073690526456596794,0.020474462608667032,29.7019939125733,0.07464470865367034,15.874410919949286,10.910675393431733,53036000.0,-93902000.0,-226112600.0,-91210800.0,-128494200.0,124.28710957142877,-0.9958646897369341,-25898714.887670893,-5.471980342909432,2002-07-23,0.02002741881093173,1,5892.410156
99544400.0,9.7018,0.009237491,0.007612816,0.005701372,0.3986,-0.0506,0.0441,0.078,-0.001,-0.0029,-0.0128,0.02002741881093173,-0.016914136421964154,-0.06580996869156042,-0.05411170721093239,0.018799088340599117,-0.03621623747718428,-0.035209384662048815,-0.015057886488372363,0.013793131720581941,-0.0138803383857381,-0.009916494194675662,0.005024079170953044,0.01026715205765738,-0.08799635066680778,-0.019477517044507286,0.015342814213408218,0.002676984357960599,33.83495894529344,30.92488094582361,16.527873990941654,11.047617764112651,152580400.0,99544400.0,-74086800.0,-64664600.0,25819400.0,134.02926214285728,0.9153399076994714,6365256.319961345,-2.3661756138878265,2002-07-24,-0.014654563099260276,0,6010.419922
82190400.0,9.7158,0.001443031,0.010693852,0.007215276,0.3927,-0.0059,0.0415,0.0785,0.0005,-0.0004,-0.0235,-0.014654563099260276,0.005079362638991558,-0.06542742774389132,-0.04039290166875997,0.01872714207618538,0.02002741881093173,-0.03621623747718428,-0.035209384662048815,0.0047710382844063925,0.002966426150621704,-0.04052836700712914,0.006832393587796082,0.010065563313094383,-0.05663707500502391,-0.057804665261517174,0.01696672879112837,0.03541042530790417,33.74120441133874,19.889491953041066,18.086933046502793,11.439739112140046,70390000.0,-82190400.0,-76548000.0,-208758600.0,-127432400.0,133.28288935714298,-0.31560827478976744,533826.291023396,-1.729070668127068,2002-07-25,-0.0036978463878913903,0,5922.339844
67538600.0,9.7652,0.005084502,0.00653487,0.006171885,0.3551,-0.0376,-0.0266,0.0778,-0.0007,-0.0016,-0.0218,-0.0036978463878913903,-0.01829821916392893,-0.034902857010675414,-0.07818446892365416,0.018517320016750684,-0.014654563099260276,0.02002741881093173,-0.03621623747718428,-0.015057886488372363,0.0016040262035461605,-0.06708981240722045,-0.009916494194675662,-0.009656784295234533,-0.07321089794331759,-0.08799635066680778,-0.019477517044507286,-7.346087652437827e-05,31.547090993870057,17.145693877507906,19.968611013015103,11.904559930141426,2851400.0,-67538600.0,-50184600.0,-223815800.0,-265440600.0,138.23570050000004,0.4154569313182296,8359780.564060759,-2.711819164904518,2002-07-26,0.03447877514799713,1,5900.439941
75401000.0,9.6944,-0.007250236,-0.002202598,0.006844264,0.3133,-0.0418,-0.1054,0.0775,-0.0003,-0.0025,-0.02,0.03447877514799713,0.03065343154596567,0.035888494079908684,-0.055265913096858466,0.022905695189234094,-0.0036978463878913903,-0.014654563099260276,0.02002741881093173,-0.035209384662048815,-0.0044278101039259,-0.06135291228727713,-0.04052836700712914,-0.018006054228511426,-0.07811674657180412,-0.05663707500502391,-0.057804665261517174,-0.0137549608521631,37.2194288996072,45.92804551420869,21.356230967775755,12.283828850587861,78252400.0,75401000.0,-74328000.0,-68685600.0,-137870600.0,146.03853950000004,0.9037530108523435,20927534.131027557,-2.6480035371974107,2002-07-29,-0.014613607854314314,0,6103.879883
67250400.0,9.741,0.004806899,-0.002478188,0.013315302,0.3192,0.0059,-0.13,0.077,-0.0005,-0.002,-0.0185,-0.014613607854314314,0.019361307994372856,0.0007088113734625701,-0.054748845235543464,0.02311285946758768,0.03447877514799713,-0.0036978463878913903,-0.014654563099260276,-0.03621623747718428,-0.00877577201094304,-0.07950011545206992,-0.06708981240722045,-0.022410022462648116,-0.04208989713201783,-0.07321089794331759,-0.08799635066680778,-0.0073690526456596794,37.004172191503805,36.050298923187334,22.943235391262476,12.734639757123857,11002000.0,-67250400.0,-59388000.0,-42034000.0,-133244800.0,143.73427050000004,-0.9643227736044675,-320542.9239695035,-3.4251943939050435,2002-07-30,0.0011903655374010391,1,6014.680176
86650800.0,9.7861,0.004629915,0.009459069,0.008689109,0.3203,0.0011,-0.0783,0.077,0.0,-0.001,-0.0175,0.0011903655374010391,-0.01344063785208005,0.016800792021552935,-0.045140612429229954,0.022326418889627563,-0.014613607854314314,0.03447877514799713,-0.0036978463878913903,0.02002741881093173,0.013793131720581941,-0.06888333355443088,-0.06135291228727713,0.005024079170953044,-0.04773152873801201,-0.07811674657180412,-0.05663707500502391,0.015342814213408218,38.8167886082925,37.07824838478105,24.827562480686073,13.293776820693468,97652800.0,86650800.0,94801400.0,-54927600.0,-119592200.0,142.18924392857147,0.6634680002688107,12785835.843218967,-1.9646886034542508,2002-07-31,-0.04414757231793298,0,6021.839844
115326800.0,9.8769,0.009278466,0.01395134,0.016581239,0.3695,0.0492,-0.0232,0.0785,0.0015,0.0,-0.01425,-0.04414757231793298,-0.04300975852917899,-0.024481175716453252,-0.09017638199044442,0.024935695782288412,0.0011903655374010391,-0.014613607854314314,0.03447877514799713,-0.014654563099260276,0.0047710382844063925,-0.001627489621572109,-0.07950011545206992,0.006832393587796082,-0.05956946343240255,-0.04208989713201783,-0.07321089794331759,0.01696672879112837,36.10093287482669,0.19138104199390515,26.674687022959723,13.863835530514617,-17674000.0,-115326800.0,-95926400.0,-88064000.0,-296822600.0,155.76422992857144,-0.9898887999183886,-15862090.67108035,2.0270632074775135,2002-08-01,-0.019334646946171263,0,5755.990234
90589000.0,9.8412,-0.003614494,0.005630435,0.007782739,0.4129,0.0434,0.0578,0.0802,0.0017,0.0024,-0.0083,-0.019334646946171263,-0.0626286415398064,-0.07522751050178211,-0.12659003457091966,0.02505342497060928,-0.04414757231793298,0.0011903655374010391,-0.014613607854314314,-0.0036978463878913903,-0.015057886488372363,0.020750425846628673,-0.06888333355443088,-0.009916494194675662,-0.10535557137541174,-0.04773152873801201,-0.07811674657180412,-0.019477517044507286,36.93048456969467,2.7468661461506048,28.463682881500382,14.436638569560296,-108263000.0,-90589000.0,-119265000.0,-111114400.0,-334930200.0,156.72781807142857,-0.7103110314465371,-21534472.855060432,2.624008121486331,2002-08-02,-0.01952804864599189,0,5644.700195
